Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2015,80.24413118608383,46.17092806402087,68.84326114621628,-19.755868813916166,-53.82907193597914,-31.15673885378372,32.69172845486353,44.085684355758126,56.09774442517145,-0.6043078707567417,-1.2210102377360148,-0.5554009198238544,-43.86640765793436,-57.1381310601343,-50.526758374687
2016,191.0274087648294,79.53516318509895,160.91601564085892,138.05779431001918,72.2624311879004,133.74258128052537,58.64875339796628,46.239092263575536,51.05824311357198,2.3539766203250023,1.5627995198518319,2.619412128674963,-35.532604639619386,-23.79209592812242,-27.816143608936144
2017,226.09031990176754,89.75695578964672,228.2590659183962,18.354911142674553,12.85191630368446,41.849812157813524,31.930024058665097,33.258511733996976,33.388725730844556,0.5748480210647834,0.3864248769299915,1.2534114807248424,-22.841162252278504,-30.521947124791016,-27.65670785414817
2018,258.34327809060915,98.74180485038016,261.6549422590757,14.265519285768171,10.010198075110988,14.630690004058241,35.36247002493933,38.98224474573702,36.25158971608592,0.4034084518334674,0.2567886518696611,0.4035875424675836,-26.25476078782742,-36.13262258357305,-34.40452094226919
2019,328.06914520924033,106.42621659266669,338.33515352239124,26.989619251551076,7.78232862355558,29.30585243346605,32.207218684797326,32.18270849782327,28.868948709601618,0.8379990683359102,0.2418170808737851,1.0151340365130483,-25.15997392901455,-38.7508238490617,-27.374158481633376
2020,353.90360342482927,89.69965086849626,284.3023157494787,7.8746991580423975,-15.716583995642077,-15.970210961048311,60.477202970258475,68.69595357260145,73.37852678069419,0.13020938091192846,-0.22878471261093966,-0.2176414771691772,-59.059513017231666,-62.61687636056903,-68.06084574258041
2021,442.5099085961293,76.04368793647092,329.51761117239846,25.03684741094207,-15.22409819860459,15.903949042315421,41.568426906800035,32.68322972642999,34.9777957020636,0.602304423669359,-0.4658076428197455,0.454687001370333,-31.315621098730716,-31.632475277612482,-33.197650496621534
2022,402.5156581425256,91.09867169860149,366.62975940379926,-9.03804630736659,19.79780856329317,11.262568971460619,38.749893570505634,38.37450079574848,43.06605912916256,-0.23324054531715857,0.515910517472753,0.2615184486159327,-34.15734888109121,-32.613900929987466,-38.154217500724236
2023,506.9703320807437,129.12169742712413,522.3597332241532,25.95046225536698,41.73828774838915,42.47608652216248,30.33339734333685,28.608692156486477,33.89580430428726,0.855507939372553,1.4589372880132092,1.2531370001091833,-25.111743660002844,-17.217117622540798,-23.717210018562227
2024,277.1094191427995,96.9494157065385,431.7536015089732,-45.34011132259608,-24.91624751041053,-17.345542918466,27.414346672901473,25.092714608837007,28.685340334527417,-1.653882613493535,-0.992967397064153,-0.604683183681382,-46.03410681536655,-34.806275421825134,-27.429113221883032
