Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2015,62.447705778200344,51.90769486953735,86.01599843064538,-37.552294221799656,-48.09230513046265,-13.984001569354618,35.13796641399979,47.55981096856979,50.005497828464804,-1.068709946937565,-1.0111963052638027,-0.27964928211142526,-43.928700475844515,-54.418219774823015,-47.72870045690081
2016,87.09111549834059,148.74619478512258,207.09970449403576,39.4624741021998,186.55904516464295,140.76882007132667,37.614034183497594,65.50691914368107,55.70647370878659,1.0491422937961057,2.847928853980287,2.526974168338413,-19.940333004274983,-34.79925536268843,-26.87103958883249
2017,112.43124549294146,166.98867054664936,270.0494264697983,29.096113707584443,12.264162984390756,30.395853113144057,32.03829523476989,36.434472425626495,30.93208835052502,0.9081667265494072,0.3366087709771434,0.9826641114138722,-27.536438835078663,-36.70900205601214,-21.99572176915395
2018,143.35880397527848,180.6751867130123,264.6584684346923,27.507974626393946,8.196074692707683,-1.9962856820615795,31.704663201478294,38.94677886054147,39.436326816983545,0.8676318196974674,0.21044294117507756,-0.05062047718911449,-17.56922465002361,-37.16511226959648,-42.84363641704674
2019,188.1002478308457,279.37448888753664,232.22825549137602,31.20941484924962,54.62803386017809,-12.253608635734555,31.712884661768094,32.39504076256068,29.87578932735119,0.984124124377577,1.6863085390314536,-0.4101517955382158,-22.549730928187024,-24.482237364652608,-42.780015800551716
2020,175.3999631413675,322.51298345410396,166.89542649136564,-6.75187025851198,15.441100129916622,-28.133023202439965,59.69783669150122,65.4680431509924,76.32099044295819,-0.11310075260186435,0.23585705921137734,-0.36861449306618216,-59.059513017231666,-60.3179902965181,-70.26763072142744
2021,173.1994563983377,351.1007937352982,205.78154777575466,-1.2545651114283554,8.86408043949726,23.29969256910752,39.322845636665576,36.21318616568993,34.64204195626978,-0.03190422999953412,0.24477493913240653,0.6725842719814201,-47.7452226104089,-24.425378030061403,-26.115999793451657
2022,218.5573422985264,358.5583917784691,191.2685020581961,26.1882380253383,2.124061858086632,-7.052646787054876,38.945856665764175,35.257437033305656,46.898676910758674,0.6724268065300868,0.0602443636524162,-0.15038050647942652,-24.70884959397013,-34.77980468408208,-47.05100076638051
2023,313.65343139346794,457.127403743277,261.87760360696046,43.51081876034631,27.490365370030865,36.9162202814139,28.045813733819465,33.60451511848659,29.515283241988566,1.5514193730766364,0.818055706892429,1.250749314473687,-20.07551983986039,-30.608034841519473,-23.56308707619084
2024,257.4667388348457,345.44255952920435,137.1454003871755,-17.913622787100277,-24.431885574900893,-47.629962051657365,21.795345571143073,23.4837728548502,32.53045939935279,-0.8219012967070283,-1.0403731004345358,-1.4641650604111967,-23.79376365862302,-23.83367189577477,-46.78518941559059
