Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2015,121.89932177626433,76.36360202238009,113.93465925536923,21.89932177626433,-23.636397977619907,13.934659255369224,22.719508068911082,25.995986502057193,22.566189225020747,0.9638994695589788,-0.9092325838740315,0.617501657741967,-12.995850921186522,-30.283106600359538,-13.365240240169063
2016,113.01454230589712,71.23793918198032,173.3268912430833,-7.288620921677031,-6.712180547609026,52.128327214806845,28.456992566465,25.474253823039405,34.98910973990797,-0.25612758989389023,-0.2634887990924547,1.4898443430628412,-27.42620210267674,-19.840042028741493,-23.03406335161205
2017,109.73222489610806,87.3082238406854,183.48987647193246,-2.9043319052735628,22.5586040854619,5.8634786304428745,20.63912080675107,20.189646336238933,17.204373568686893,-0.14071974927941475,1.1173352771896188,0.3408132593165029,-20.264397883398054,-23.99252430572006,-22.065572174969045
2018,92.69012075791235,80.73817093759511,142.90722530954116,-15.53062844969268,-7.525124912721748,-22.117106372677203,27.694090007168164,25.36417898847057,28.487480216582295,-0.5607921562207976,-0.29668316550448315,-0.7763798765116138,-33.77834767444433,-22.669779744290608,-28.981360964147456
2019,117.59518216539604,93.18888515882796,204.1735944316868,26.86916491621649,15.421100176837498,42.87142864151265,19.967174995868252,18.969548407929928,25.19176445403653,1.345666821760036,0.8129397624664035,1.701803330200766,-10.82569567133255,-15.171289300629148,-21.367473886717896
2020,117.29802990196379,81.8640000318258,239.6064469307259,-0.25269084834981753,-12.152613595173301,17.35427766634845,65.28170166415524,42.61156279291818,44.74908826980145,-0.00387077606600694,-0.2851952099065703,0.38781298876338993,-69.52582271121884,-46.33033675556016,-45.965764035192954
2021,190.32179079026642,110.2757179172386,269.06975101793415,62.25489119411039,34.705997598904695,12.296540625105374,36.249383853645355,22.873499982042706,19.655134992631684,1.7174054997861665,1.5173015772029346,0.6256146614976239,-24.85364182276342,-12.976529156281327,-13.733065905610134
2022,164.94915450162276,105.31474263231878,325.42617488478965,-13.331440495221154,-4.4987014173355915,20.94491248222815,30.190218009771733,33.331598537583844,23.110598935263052,-0.4415814583023593,-0.1349680667809248,0.9062903363473452,-34.094266713877495,-24.207389821307924,-17.450539361905157
2023,209.65294517151784,151.25668607568545,442.7487242914812,27.101557934602987,43.62346837209864,36.05197075749275,27.300683586408102,31.902365701757528,30.18300406422588,0.9927062027155887,1.3674054388291144,1.1944460757046713,-22.755759193247687,-27.38104367620697,-37.406890597662
2024,157.3404717894572,141.59727124218972,361.53147130161346,-24.951938232617533,-6.386107671737815,-18.343870582538102,22.605781593460094,30.862064824988117,20.605132750908208,-1.103785689933242,-0.20692418695741863,-0.8902573356014687,-30.707838321022006,-24.252371361141613,-23.440813764626647
