Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2015,132.22773678571141,104.37813474835217,69.50391149487672,32.227736785711414,4.378134748352167,-30.496088505123282,23.845496379119947,21.10341556011228,27.458926018176903,1.3515229992834743,0.20746095511796261,-1.1106074755049005,-13.468715006259924,-16.422883294191447,-34.19617677546053
2016,112.1664951846171,172.91290518158232,65.22870377581184,-15.171734833218546,65.66008350164748,-6.151031829884877,27.29653431900624,28.998799804467797,32.527990184441656,-0.5558117618856344,2.2642345181310346,-0.18909965832524614,-26.871574795378546,-15.516839296016371,-30.386379794707157
2017,108.12889901735015,231.00367266275393,60.556632099645334,-3.599645474008431,33.59539151815668,-7.162600827120842,20.403384199900103,19.859545648677877,19.682500904781108,-0.17642394216279353,1.6916495529389541,-0.36390704930088247,-24.275552383537168,-14.608403826380714,-32.00733747189569
2018,95.07710777743814,216.5103008578626,44.935511454882594,-12.070585531272025,-6.274087176982003,-25.795887424945203,24.530029231200892,26.37825267353176,29.831092739208106,-0.49207383397321364,-0.23785074980639234,-0.864731562147595,-27.77074588174996,-31.12087325743905,-33.69943751162437
2019,135.23963230721301,267.26903597479253,52.95803161536158,42.242055389179036,23.444027797205205,17.853407918888333,23.873244639103724,18.090021056526897,24.271222948305965,1.7694308430948553,1.2959646494577506,0.7355792477747575,-17.40178842334976,-14.486762289907466,-18.252403591730705
2020,113.75001729449542,267.94521208525987,68.23908096887953,-15.890027683527977,0.252994555841894,28.855017619433898,49.399925753119355,55.252996248466225,49.179492318704526,-0.32166096287147966,0.0045788386697475595,0.5867286598332658,-56.64515975022406,-59.51125253608037,-48.516338854886364
2021,183.647366452349,287.6750885421118,97.04418452628377,61.44820969731495,7.363399518620205,42.21203326366722,36.249383853645355,25.41394886804743,18.8855747250967,1.695151838867339,0.2897385037190381,2.2351468715205374,-24.85364182276347,-13.880338424745272,-11.625727604140843
2022,207.17978525665734,345.52772732098595,66.01375008975569,12.813915744560548,20.110409654190587,-31.975573382373774,26.642381840719068,22.64563989053858,38.024912349838196,0.480959841397375,0.8880477545080446,-0.8409111660321772,-13.888621918343238,-13.799549189498489,-47.8451601547713
2023,248.88749417381206,482.0725533637242,96.49041796040164,20.13116717226374,39.517762322990585,46.16715128167739,31.55164378925472,25.53988865203278,29.56995679013213,0.6380386171550163,1.5472957952714204,1.561285720142951,-39.617277100865685,-23.840205498399932,-22.493566143878656
2024,186.3894518716363,428.62460191077037,85.51096691743214,-25.110961283787876,-11.087117712886526,-11.378799340961834,20.089578353341413,27.72042047636345,24.761379892567213,-1.2499496426519714,-0.39996210455538544,-0.4595381755916391,-30.561302642872345,-21.783897354562423,-24.025456020679268
