Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2015,100.76548838438556,82.1385295212051,115.8820695371965,0.7654883843855629,-17.8614704787949,15.8820695371965,22.265406512231834,23.048398960297078,25.748850844706265,0.03438016655860428,-0.7749549332933222,0.6168069259860469,-12.637505036336908,-25.12848848264503,-17.54523972384686
2016,113.85826768944762,70.96174517430686,156.4024428848126,12.993316972888195,-13.607236959377044,34.96690515577099,30.34329117151799,28.6554473445788,29.21817472573662,0.42821053587899827,-0.47485690227590666,1.1967518670826018,-23.11909670349848,-22.403241049940796,-16.899087181769836
2017,105.49612235255196,94.90798683449242,146.58221834700063,-7.344346182838205,33.74528290047718,-6.278817873097007,18.890999532847808,19.28425986841864,20.542636656603428,-0.38877488563100127,1.7498873760636777,-0.3056481004875624,-26.76618179440072,-18.0440163354439,-22.080484553274026
2018,93.45218611082511,90.3663596120708,110.01782963398495,-11.416472921609246,-4.785295077791135,-24.94462774908869,25.617582676127412,25.12622432170686,30.187427943880287,-0.4456498907778704,-0.19045022509239712,-0.8263250448319682,-21.023655158702855,-29.91156928186748,-36.88095969161136
2019,115.49842729595501,120.73096013868059,133.53462395821686,23.590931472684037,33.601664000807894,21.375439237866477,22.08050755378302,20.607554781437372,21.956240840215674,1.0684053079496463,1.630550754671544,0.9735473113737492,-17.116784893652348,-17.83766025013707,-16.85706586750679
2020,109.17386302656874,132.0129640753902,147.53565387499089,-5.475887782593011,9.344747961707792,10.484943531315869,49.44406091795909,50.071036934675725,53.88769785190101,-0.11074915128186925,0.18662980704592255,0.1945702627737323,-55.486012223067384,-55.01317328679314,-60.18912529353021
2021,146.82330068344527,158.54155190889009,239.06957243384605,34.48576116401972,20.095441397975055,62.041897097235356,28.976501180531432,22.630503116655852,29.123251848741777,1.190128544131816,0.8879803199419365,2.130321758691785,-12.757409248406478,-13.21447154547528,-17.347734086686177
2022,123.61779726270393,160.64827287991378,273.5689397471245,-15.805054996531501,1.3288131380436918,14.430680977950427,25.713813569365705,27.981347316387165,34.46816532965289,-0.6146523133916216,0.04748924785567697,0.41866693048311865,-32.87364524573742,-26.155792244516874,-20.57313406163495
2023,128.5136351536902,236.42311677669267,458.25528831627423,3.960463622064033,47.16816591823639,67.50998440826869,25.99679428377159,27.074996326330517,36.67199322770953,0.15234430748780203,1.7421300948567517,1.840913963663634,-33.473061402059386,-22.10627433277894,-34.53937201109841
2024,69.01812097482757,265.221831397662,460.93025914885413,-46.29509865448254,12.181006245751522,0.5837293972991134,24.72752703253725,23.526392606656,23.736735238907812,-1.8722089998553437,0.5177592013110126,0.024591814814629593,-48.76733739570647,-18.709423122865683,-12.27197756197584
